CAT,Day_of_month,Month_of_year,Day_Segment,Longitude,Latitude,Year,Count
IMPAIRED,1,3,2,-122.443,37.77,1,1
IMPAIRED,1,3,2,-122.429,37.787,1,1
IMPAIRED,1,3,2,-122.416,37.77,1,1
IMPAIRED,1,3,2,-122.414,37.783,2,2
IMPAIRED,1,3,2,-122.407,37.741,1,1
IMPAIRED,1,3,2,-122.404,37.779,1,1
IMPAIRED,1,3,2,-122.403,37.713,2,2
IMPAIRED,1,4,0,-122.444,37.772,1,1
IMPAIRED,1,4,0,-122.418,37.783,1,1
IMPAIRED,1,4,0,-122.415,37.783,1,1
IMPAIRED,1,4,0,-122.414,37.761,2,2
IMPAIRED,1,4,0,-122.414,37.78,1,1
IMPAIRED,1,4,0,-122.414,37.786,1,1
IMPAIRED,1,4,0,-122.407,37.781,1,1
IMPAIRED,1,4,0,-122.401,37.765,1,1
IMPAIRED,1,4,1,-122.438,37.715,2,2
IMPAIRED,1,4,1,-122.414,37.78,3,3
IMPAIRED,1,4,1,-122.413,37.765,1,1
IMPAIRED,1,4,1,-122.407,37.78,1,1
IMPAIRED,1,4,2,-122.481,37.721,1,1
IMPAIRED,1,4,2,-122.44,37.784,3,3
IMPAIRED,1,4,2,-122.435,37.762,1,1
IMPAIRED,1,4,2,-122.423,37.766,1,1
IMPAIRED,1,4,2,-122.419,37.76,1,1
IMPAIRED,1,5,0,-122.476,37.75,1,1
IMPAIRED,1,5,0,-122.452,37.748,2,2
IMPAIRED,1,5,0,-122.418,37.783,1,1
IMPAIRED,1,5,0,-122.417,37.782,1,1
IMPAIRED,1,5,0,-122.416,37.782,2,2
IMPAIRED,1,5,0,-122.413,37.783,1,1
IMPAIRED,1,5,0,-122.396,37.774,1,1
IMPAIRED,1,5,1,-122.422,37.764,1,1
IMPAIRED,1,5,1,-122.416,37.771,2,2
IMPAIRED,1,6,0,-122.474,37.743,1,1
IMPAIRED,1,6,0,-122.416,37.782,3,3
IMPAIRED,1,6,0,-122.415,37.782,2,2
IMPAIRED,1,6,0,-122.397,37.794,1,1
